2023-09-22 19:43:32.271 +07:00 [INF] Равносторонний (0; 0), (10; 0), (5; 7,071067)
2023-09-23 09:23:12.645 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.646 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.647 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.648 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.648 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.649 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.650 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.651 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.652 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.652 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.653 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.654 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.655 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.659 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.660 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.661 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.662 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.663 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.665 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.666 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.667 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.668 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.670 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.671 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.674 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.675 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.677 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.678 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.679 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.681 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.681 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.683 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.684 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.685 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.686 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.687 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.689 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.690 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.691 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.692 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.693 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.693 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.694 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.695 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.695 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.697 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.697 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.698 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.700 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.701 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.702 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.702 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.705 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.706 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.707 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.708 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.708 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.709 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.710 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.710 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.711 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.711 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.712 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.712 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.713 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.713 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.715 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.716 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.716 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.716 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.717 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.718 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.721 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.722 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.722 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.723 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.723 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.724 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.724 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.725 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.726 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.727 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.728 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.728 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.730 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.730 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.730 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.731 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.732 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.733 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.736 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.737 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.738 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.739 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.740 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.741 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.742 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.743 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.744 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.745 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.746 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.746 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.748 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.749 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.751 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.752 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.753 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.754 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.755 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.756 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.757 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.758 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.759 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.760 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.761 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.762 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.763 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.764 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.764 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.768 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.769 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.770 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.771 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.772 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.773 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.774 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.774 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.776 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.776 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.778 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.779 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.780 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.780 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.784 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.787 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.790 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.791 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.792 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.793 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.794 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.796 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.798 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.799 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.801 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.802 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.802 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.804 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.804 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.805 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.806 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.808 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.809 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.810 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.813 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.816 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.817 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.819 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.820 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.821 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.822 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.823 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.825 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.827 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.828 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.831 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.834 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.835 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.836 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.837 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.839 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.840 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.842 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.843 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.844 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.847 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.848 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.849 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.851 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.852 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.853 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.854 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.855 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.856 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.857 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.859 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.860 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.861 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.863 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.864 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.866 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.867 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.868 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.869 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.870 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.870 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.872 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.873 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.874 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.875 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.876 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.879 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.881 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.883 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.884 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.886 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.888 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.890 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.891 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.892 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.893 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.896 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.897 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.898 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.899 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.902 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.903 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.904 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.905 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.906 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.908 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.910 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.912 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.914 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.915 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.916 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.917 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.918 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.920 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.921 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.923 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.925 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.927 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.929 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.931 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.932 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.934 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.935 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.937 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.938 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.939 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.940 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.943 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.945 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.946 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.947 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.948 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.949 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.950 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.951 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.952 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.953 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.954 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.955 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.955 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.957 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.959 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.960 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.961 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.962 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.963 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.964 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.964 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.965 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.966 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.967 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.968 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.969 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.971 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.972 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.976 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.979 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.981 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
2023-09-23 09:23:12.983 +07:00 [INF] Разносторонний (0; 0), (20; 0), (13,75; не число)
